"date","share","like","emo","comment","brand"
"2016-11-07",363,3232,191,138,"N"
"2016-11-03",16504,42393,5158,975,"N"
"2016-10-25",50299,396371,18296,3846,"N"
"2016-10-18",1444,11746,805,330,"N"
"2016-10-08",1,4958,307,305,"N"
"2016-09-01",2853,14994,1262,858,"N"
"2016-08-30",3796,10025,1045,409,"N"
"2016-08-22",1714,9869,626,405,"N"
"2016-08-20",503,9222,474,307,"N"
"2016-08-19",401,4150,146,162,"N"
"2016-08-18",2022,12336,556,311,"N"
"2016-08-17",6416,23270,2023,617,"N"
"2016-08-15",321,3918,201,117,"N"
"2016-08-14",93753,74751,10179,3377,"N"
"2016-08-13",178,2236,97,83,"N"
"2016-08-13",273,2865,133,73,"N"
"2016-08-11",9087,44092,5614,756,"N"
"2016-08-10",27100,83974,4674,1572,"N"
"2016-08-09",281,4083,255,71,"N"
"2016-08-08",5155,22319,1900,645,"N"
"2016-08-05",29441,61095,5574,1724,"N"
"2016-07-27",1563,4534,196,325,"N"
"2016-07-25",12326,14017,1582,772,"N"
"2016-07-16",265,2741,166,225,"N"
"2016-07-12",5171,11969,1508,320,"N"
"2016-07-10",817,8098,591,208,"N"
"2016-07-09",10109,54536,3943,1123,"N"
"2016-07-05",1680,3638,164,188,"N"
"2016-06-28",414,2545,143,178,"N"
"2016-06-24",198,1565,84,138,"N"
"2016-06-20",46830,51209,4293,1681,"N"
"2016-06-09",7298,15050,1130,1523,"N"
"2016-06-08",420,2041,92,199,"N"
"2016-06-02",708,7328,404,347,"N"
"2016-04-13",12724,15686,1106,1832,"N"
"2016-04-07",3072,17857,712,854,"N"
"2016-03-03",1076,6965,291,1223,"N"
"2016-03-02",178,2526,74,386,"N"
"2016-02-11",4,3870,541,2465,"N"
"2016-02-08",1250,4365,314,848,"N"
"2016-01-25",1,2230,203,670,"N"
"2016-01-16",1,3767,158,544,"N"
"2016-01-08",894,4360,196,598,"N"
"2015-12-25",0,2859,102,472,"N"
"2015-10-29",130439,201520,404,9095,"N"
"2015-10-24",2017,16052,54,686,"N"
"2015-10-21",15,23624,110,1395,"N"
"2015-10-15",2,2398,30,426,"N"
"2015-09-25",2130,5825,49,749,"N"
"2015-09-12",2,4241,17,481,"N"
"2015-08-27",476,5335,30,661,"N"
"2015-08-21",1,2569,19,269,"N"
"2015-07-15",32750,122498,61,2556,"N"
"2015-07-07",2830,17735,13,1901,"N"
"2015-07-02",3264,8425,24,1950,"N"
"2015-04-20",0,7081,11,1177,"N"
"2015-04-05",47822,78285,46,4121,"N"
"2015-03-12",5,6144,10,1245,"N"
"2015-02-12",365,5615,6,1172,"N"
"2015-02-02",10,19662,7,1016,"N"
"2015-01-29",1673,11768,26,943,"N"
"2015-01-08",394,6858,14,698,"N"
"2014-12-10",467,5376,29,760,"N"
"2014-11-23",562,2951,41,217,"N"
"2014-11-14",141,3331,4,417,"N"
"2014-11-05",745,7540,7,621,"N"
"2014-10-31",3016,11700,30,823,"N"
"2014-10-22",767,8044,20,596,"N"
"2014-10-21",318,5234,5,330,"N"
"2014-10-20",1070,12152,24,411,"N"
"2014-10-10",45,3336,4,413,"N"
"2014-10-06",758,6113,6,460,"N"
"2014-09-16",1144,6983,5,899,"N"
"2014-08-25",936,3463,4,763,"N"
"2014-08-21",404,4289,5,492,"N"
"2014-08-14",1068,3986,4,459,"N"
"2014-08-11",84,3181,3,348,"N"
"2014-06-09",6361,34766,9,2561,"N"
"2014-04-25",54240,77837,44,7472,"N"
"2014-04-22",82,3388,5,484,"N"
"2014-04-11",338,6905,7,550,"N"
"2014-04-09",33,1579,2,234,"N"
"2014-04-03",334,12382,13,525,"N"
"2014-03-13",374,11447,10,1359,"N"
"2014-03-06",845,4404,4,1093,"N"
"2014-01-19",4852,44208,7,2066,"N"
"2013-10-31",1366,14290,4,1309,"N"
"2013-09-09",784,7824,4,510,"N"
"2013-08-29",505,3619,15,106,"N"
"2013-08-22",2627,24603,7,565,"N"
"2013-08-21",33318,71141,2,2674,"N"
"2013-08-20",4457,36773,175,1295,"N"
"2013-08-02",1062,33296,19,854,"N"
"2013-08-01",7523,83188,24,1990,"N"
"2013-07-17",4061,76349,42,2101,"N"
"2013-07-16",5975,58029,29,1359,"N"
