"date","share","like","emo","comment","brand"
"2015-09-05",52,779,1,11,"U"
"2015-09-05",79,676,0,5,"U"
"2015-09-04",23,444,0,0,"U"
"2015-09-03",22,453,0,5,"U"
"2015-09-03",75,371,0,3,"U"
"2015-09-02",242,1862,4,54,"U"
"2015-09-02",117,406,0,6,"U"
"2015-09-02",20,392,0,3,"U"
"2015-09-01",212,940,1,15,"U"
"2015-09-01",20,337,2,7,"U"
"2015-08-26",24,507,1,0,"U"
"2015-08-25",31,498,0,4,"U"
"2015-08-24",4,182,0,2,"U"
"2015-08-24",52,869,1,21,"U"
"2015-08-24",2889,17451,5,274,"U"
"2015-08-22",39,518,1,14,"U"
"2015-08-22",80,1235,1,18,"U"
"2015-08-19",30,682,1,19,"U"
"2015-08-19",17,620,1,9,"U"
"2015-08-17",25,396,1,5,"U"
"2015-08-17",12,270,0,10,"U"
"2015-08-16",86,926,0,30,"U"
"2015-08-16",24,516,0,8,"U"
"2015-08-16",10,292,0,2,"U"
"2015-08-16",33,541,0,11,"U"
"2015-08-13",339,40,0,5,"U"
"2015-08-12",55,915,1,13,"U"
"2015-08-12",112,459,0,8,"U"
"2015-08-11",16,298,0,0,"U"
"2015-08-11",15,128,0,3,"U"
"2015-08-09",20,326,0,4,"U"
"2015-08-07",41,818,1,14,"U"
"2015-08-07",16,676,0,1,"U"
"2015-08-05",8,409,0,3,"U"
"2015-08-05",19,311,0,4,"U"
"2015-08-03",9,328,0,0,"U"
"2015-08-01",15,369,0,8,"U"
"2015-07-31",0,266,0,2,"U"
"2015-07-30",10,446,0,4,"U"
