"date","share","like","emo","comment","brand"
"2015-10-05",16,141,0,4,"P"
"2015-10-03",41,463,0,7,"P"
"2015-10-01",64,223,0,4,"P"
"2015-09-29",92,1643,0,35,"P"
"2015-09-29",124,1079,21,59,"P"
"2015-09-27",78,960,17,53,"P"
"2015-09-26",15,463,0,14,"P"
"2015-09-25",14,487,0,15,"P"
"2015-09-25",208,1396,14,73,"P"
"2015-09-24",30,252,0,8,"P"
"2015-09-23",18,421,0,9,"P"
"2015-09-22",16,262,0,15,"P"
"2015-09-21",24,259,0,13,"P"
"2015-09-20",66,968,1,23,"P"
"2015-09-19",21,513,0,12,"P"
"2015-09-19",65,1503,0,15,"P"
"2015-09-16",6,49,0,5,"P"
"2015-09-16",66,801,1,29,"P"
"2015-09-14",951,3057,6,88,"P"
"2015-09-10",20,796,0,14,"P"
"2015-09-10",52,166,0,17,"P"
"2015-09-09",5,276,0,6,"P"
"2015-09-08",18,317,0,7,"P"
"2015-09-07",25,509,0,10,"P"
"2015-09-06",150,2353,2,54,"P"
"2015-09-05",24,317,0,6,"P"
"2015-09-04",31,645,2,8,"P"
"2015-09-03",58,272,0,10,"P"
"2015-09-01",18,520,0,11,"P"
"2015-08-31",19,567,0,10,"P"
"2015-08-31",38,4125,7,19,"P"
"2015-08-29",16,248,0,12,"P"
"2015-08-29",81,1224,0,21,"P"
"2015-08-27",24,297,1,14,"P"
"2015-08-27",88,614,0,15,"P"
"2015-08-26",88,1159,2,15,"P"
"2015-08-25",31,339,0,7,"P"
"2015-08-23",183,2638,0,39,"P"
"2015-08-21",17,510,0,6,"P"
"2015-08-21",171,1017,0,20,"P"
"2015-08-19",43,1175,0,19,"P"
"2015-08-14",44,1084,0,31,"P"
"2015-08-12",52,343,0,20,"P"
"2015-08-12",17,647,0,9,"P"
"2015-08-11",27,340,0,10,"P"
"2015-08-10",82,1179,0,26,"P"
"2015-08-10",109,411,0,12,"P"
"2015-08-08",65,1244,0,31,"P"
"2015-07-31",18,526,0,17,"P"
"2015-07-30",53,1029,1,18,"P"
"2015-07-29",60,1069,0,25,"P"
"2015-07-28",380,1547,0,36,"P"
"2015-07-26",32,1174,0,19,"P"
"2015-07-26",13,143,0,5,"P"
"2015-07-24",27,658,0,12,"P"
"2015-07-24",46,1014,0,7,"P"
"2015-07-24",5,112,0,1,"P"
"2015-07-21",48,1220,0,18,"P"
"2015-07-19",34,1067,0,11,"P"
"2015-07-16",48,2720,0,38,"P"
"2015-07-16",25,287,0,9,"P"
"2015-07-15",29,762,0,10,"P"
"2015-07-14",53,1292,0,17,"P"
"2015-07-14",48,1278,0,17,"P"
"2015-07-14",16,806,1,15,"P"
"2015-07-13",36,364,0,11,"P"
"2015-07-12",68,2430,0,16,"P"
"2015-07-10",52,1877,0,10,"P"
"2015-07-09",89,2664,0,36,"P"
"2015-07-08",73,1047,5,18,"P"
"2015-07-07",29,1309,1,3,"P"
"2015-07-05",34,1515,0,25,"P"
"2015-07-05",24,770,0,14,"P"
"2015-07-01",57,2042,2,34,"P"
"2015-06-30",28,742,0,18,"P"
"2015-06-28",22,801,0,23,"P"
"2015-06-26",15,265,0,16,"P"
"2015-06-26",83,2278,1,26,"P"
"2015-06-25",49,379,0,11,"P"
"2015-06-24",39,345,0,15,"P"
"2015-06-21",27,832,0,24,"P"
"2015-06-20",208,6113,1,90,"P"
"2015-06-18",24,1037,0,19,"P"
"2015-06-15",7,636,0,5,"P"
"2015-06-14",16,810,0,14,"P"
"2015-06-13",14,602,0,5,"P"
"2015-06-11",108,3219,1,48,"P"
"2015-06-09",20,948,1,7,"P"
"2015-06-07",127,3915,1,41,"P"
"2015-06-05",29,1330,0,12,"P"
"2015-06-03",148,4082,2,43,"P"
